Drink_Name,Brand,Category,Calories,Sugar_g,Caffeine_mg
Lipton Soda,Lipton,Soda,172,33.9,0
Lipton Coffee,Lipton,Coffee,81,27.9,44
Coca Cola Water,Coca Cola,Water,30,25.9,0
Coca Cola Tea,Coca Cola,Tea,164,35.3,0
Red Bull Energy Drink,Red Bull,Energy Drink,168,38.7,0
Nestle Coffee,Nestle,Coffee,166,5.9,0
Sprite Juice,Sprite,Juice,173,0.7,0
Monster Energy Drink,Monster,Energy Drink,50,45.4,0
Lipton Juice,Lipton,Juice,129,14.5,0
Schweppes Soda,Schweppes,Soda,30,6.9,115
Lipton Soda,Lipton,Soda,65,49.0,94
Nestle Tea,Nestle,Tea,28,31.2,0
Monster Coffee,Monster,Coffee,165,44.2,116
Coca Cola Soda,Coca Cola,Soda,40,10.4,0
Fanta Water,Fanta,Water,84,40.7,0
Monster Energy Drink,Monster,Energy Drink,166,26.5,92
Pepsi Coffee,Pepsi,Coffee,65,19.6,0
Monster Soda,Monster,Soda,72,6.4,0
Monster Tea,Monster,Tea,99,38.5,0
Monster Soda,Monster,Soda,32,1.3,0
Red Bull Water,Red Bull,Water,88,39.8,14
Fanta Water,Fanta,Water,165,22.2,57
Sprite Juice,Sprite,Juice,238,40.8,147
Monster Coffee,Monster,Coffee,87,58.4,68
Lipton Coffee,Lipton,Coffee,109,45.7,21
Coca Cola Tea,Coca Cola,Tea,183,35.3,143
Sprite Tea,Sprite,Tea,154,39.5,53
Schweppes Soda,Schweppes,Soda,91,6.7,0
Pepsi Water,Pepsi,Water,95,42.9,0
Coca Cola Soda,Coca Cola,Soda,59,56.5,131
Coca Cola Juice,Coca Cola,Juice,190,31.9,0
Tropicana Tea,Tropicana,Tea,106,37.0,12
Tropicana Soda,Tropicana,Soda,111,40.3,0
Sprite Water,Sprite,Water,178,60.0,0
Fanta Soda,Fanta,Soda,195,34.2,0
Red Bull Juice,Red Bull,Juice,232,59.6,0
Monster Water,Monster,Water,204,36.2,0
Schweppes Soda,Schweppes,Soda,247,31.2,0
Red Bull Soda,Red Bull,Soda,1,46.7,0
Red Bull Energy Drink,Red Bull,Energy Drink,165,18.4,67
Fanta Tea,Fanta,Tea,108,59.8,66
Monster Juice,Monster,Juice,215,12.6,112
Schweppes Soda,Schweppes,Soda,219,1.0,0
Sprite Water,Sprite,Water,214,34.2,36
Pepsi Coffee,Pepsi,Coffee,198,16.8,0
Pepsi Soda,Pepsi,Soda,185,57.3,141
Lipton Coffee,Lipton,Coffee,215,37.6,85
Schweppes Soda,Schweppes,Soda,17,19.0,0
Monster Soda,Monster,Soda,155,35.0,0
Coca Cola Water,Coca Cola,Water,91,9.7,140
Fanta Soda,Fanta,Soda,78,1.2,105
Sprite Water,Sprite,Water,222,34.2,31
Monster Tea,Monster,Tea,234,49.9,58
Coca Cola Juice,Coca Cola,Juice,216,42.5,0
Nestle Juice,Nestle,Juice,50,14.6,0
